level,fold,accuracy,f1,precision,recall,ppv,npv,error,leakage,overkill,indeterminate,imperfection,indeterminate-adjusted precision,indeterminate-adjusted Recall,indeterminate-adjusted f1
100,2,0.7536764705882353,0.32323232323232326,0.5333333333333333,0.2318840579710145,0.5333333333333333,0.78099173553719,0.23103448275862068,0.18275862068965518,0.04827586206896552,0.06206896551724138,0.29310344827586204,0.41025641025641024,0.32051282051282054,0.35987404408457035
50,3,0.7711267605633803,0.3434343434343434,0.7727272727272727,0.22077922077922077,0.7727272727272727,0.7709923664122137,0.22491349480968859,0.20761245674740483,0.01730103806228374,0.01730103806228374,0.2422145328719723,0.6296296296296297,0.22077922077922077,0.3269230769230769
60,3,0.7597173144876325,0.32,0.6666666666666666,0.21052631578947367,0.6666666666666666,0.7683397683397684,0.23529411764705882,0.20761245674740483,0.02768166089965398,0.020761245674740483,0.2560553633217993,0.5517241379310345,0.22077922077922077,0.3153623188405797
40,2,0.7355072463768116,0.3047619047619048,0.5,0.2191780821917808,0.5,0.7663934426229508,0.2517241379310345,0.19655172413793104,0.05517241379310345,0.04827586206896552,0.3,0.3902439024390244,0.2692307692307692,0.31863442389758173
90,2,0.7462121212121212,0.27956989247311825,0.48148148148148145,0.19696969696969696,0.48148148148148145,0.7763713080168776,0.23103448275862068,0.18275862068965518,0.04827586206896552,0.0896551724137931,0.32068965517241377,0.3170731707317073,0.32051282051282054,0.31878371750858264
40,3,0.7676056338028169,0.32653061224489793,0.7619047619047619,0.2077922077922078,0.7619047619047619,0.7680608365019012,0.22837370242214533,0.21107266435986158,0.01730103806228374,0.01730103806228374,0.24567474048442905,0.6153846153846154,0.2077922077922078,0.31067961165048547
100,1,0.7890909090909091,0.35555555555555557,0.5161290322580645,0.2711864406779661,0.5161290322580645,0.8237704918032787,0.2,0.1482758620689655,0.05172413793103448,0.05172413793103448,0.2517241379310345,0.38095238095238093,0.31746031746031744,0.3463203463203463
10,2,0.7421602787456446,0.3392857142857143,0.5277777777777778,0.25,0.5277777777777778,0.7729083665338645,0.25517241379310346,0.19655172413793104,0.05862068965517241,0.010344827586206896,0.2655172413793104,0.5135135135135135,0.2692307692307692,0.3532536520584329
80,1,0.7857142857142857,0.3617021276595745,0.5,0.2833333333333333,0.5,0.8252032520325203,0.20689655172413793,0.1482758620689655,0.05862068965517241,0.034482758620689655,0.24137931034482757,0.4146341463414634,0.31746031746031744,0.3595980962453728
70,2,0.7490636704119851,0.33663366336633666,0.53125,0.2463768115942029,0.53125,0.7787234042553192,0.23103448275862068,0.1793103448275862,0.05172413793103448,0.07931034482758621,0.3103448275862069,0.3695652173913043,0.3333333333333333,0.35051546391752575
30,1,0.7937062937062938,0.37894736842105264,0.5454545454545454,0.2903225806451613,0.5454545454545454,0.8260869565217391,0.20344827586206896,0.15172413793103448,0.05172413793103448,0.013793103448275862,0.21724137931034482,0.5,0.30158730158730157,0.3762376237623762
50,2,0.7617328519855595,0.35294117647058826,0.5454545454545454,0.2608695652173913,0.5454545454545454,0.7909836065573771,0.22758620689655173,0.17586206896551723,0.05172413793103448,0.04482758620689655,0.27241379310344827,0.4864864864864865,0.34615384615384615,0.4044943820224719
30,3,0.7665505226480837,0.32323232323232326,0.6956521739130435,0.21052631578947367,0.6956521739130435,0.7727272727272727,0.23183391003460208,0.20761245674740483,0.02422145328719723,0.006920415224913495,0.23875432525951557,0.6666666666666666,0.22077922077922077,0.33170731707317075
60,2,0.7636363636363637,0.3564356435643564,0.5806451612903226,0.2571428571428571,0.5806451612903226,0.7868852459016393,0.22413793103448276,0.1793103448275862,0.04482758620689655,0.05172413793103448,0.27586206896551724,0.47368421052631576,0.3333333333333333,0.391304347826087
80,3,0.7703180212014135,0.32989690721649484,0.7272727272727273,0.21333333333333335,0.7272727272727273,0.7739463601532567,0.22491349480968859,0.2041522491349481,0.020761245674740483,0.020761245674740483,0.24567474048442905,0.6153846153846154,0.23376623376623376,0.33882352941176475
100,3,0.7632508833922261,0.29473684210526313,0.7,0.18666666666666668,0.7,0.7680608365019012,0.23183391003460208,0.21107266435986158,0.020761245674740483,0.020761245674740483,0.25259515570934254,0.5833333333333334,0.2077922077922078,0.30642954856361154
60,1,0.776595744680851,0.3368421052631579,0.47058823529411764,0.26229508196721313,0.47058823529411764,0.8185483870967742,0.21724137931034482,0.15517241379310345,0.06206896551724138,0.027586206896551724,0.24482758620689654,0.4,0.2857142857142857,0.3333333333333333
20,3,0.7612456747404844,0.31683168316831684,0.6666666666666666,0.2077922077922078,0.6666666666666666,0.769811320754717,0.23875432525951557,0.21107266435986158,0.02768166089965398,0.0,0.23875432525951557,0.6666666666666666,0.2077922077922078,0.31683168316831684
10,3,0.7647058823529411,0.32,0.6956521739130435,0.2077922077922078,0.6956521739130435,0.7706766917293233,0.23529411764705882,0.21107266435986158,0.02422145328719723,0.0,0.23529411764705882,0.6956521739130435,0.2077922077922078,0.32
50,1,0.797153024911032,0.3870967741935484,0.5625,0.29508196721311475,0.5625,0.8273092369477911,0.19655172413793104,0.1482758620689655,0.04827586206896552,0.03103448275862069,0.22758620689655173,0.46153846153846156,0.31746031746031744,0.3761755485893417
